agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,254941080172001,G  -3000A,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 7.22,L,1.,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,17.5,,,459832500
USGS,254941080172003,G  -3000C,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 7.27,L,1.,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,27.5,,,459832500
USGS,254941080172004,G  -3000D,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 7.05,L,1.,NGVD29,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,42,,,459832500
USGS,254941080172005,G  -3001A,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 2.00,L,1.,NGVD29,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,6,,,459832500
USGS,254941080172006,G  -3001B,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 2.00,L,1.,NGVD29,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,20,,,459832500
USGS,254941080172007,G  -3001C,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 2.00,L,1.,NGVD29,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,14,,,459832500
USGS,254941080172008,G  -3001D,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNYNYNN,,,,28,,,459832500
USGS,254941080172009,G  -3022,GW,254941,0801720,25.8284307,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNYNYNN,,,,16.5,,,459832500
USGS,254942080112601,F  - 219,GW,254942,0801126,25.82870823,-80.1903252,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,90.4,,,459832500
USGS,254942080114601,F  - 205,GW,254942,0801146,25.82870824,-80.19588099,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,50.3,,,459832500
